"Plot Title: 32deg"
"#","Date Time, GMT+09:30","Temp, °C (LGR S/N: 10484773, SEN S/N: 10484773)","Intensity, Lux (LGR S/N: 10484773, SEN S/N: 10484773)","Coupler Detached (LGR S/N: 10484773)","Coupler Attached (LGR S/N: 10484773)"
175,06/13/14 10:05:06  PM,31.880,0.0,,
176,06/13/14 10:06:06  PM,31.880,0.0,,
177,06/13/14 10:07:06  PM,31.880,0.0,,
178,06/13/14 10:08:06  PM,31.880,0.0,,
179,06/13/14 10:09:06  PM,31.880,0.0,,
180,06/13/14 10:10:06  PM,31.880,0.0,,
181,06/13/14 10:11:06  PM,31.880,0.0,,
182,06/13/14 10:12:06  PM,31.880,0.0,,
183,06/13/14 10:13:06  PM,31.880,0.0,,
184,06/13/14 10:14:06  PM,31.880,0.0,,
185,06/13/14 10:15:06  PM,31.880,0.0,,
186,06/13/14 10:16:06  PM,31.983,0.0,,
187,06/13/14 10:17:06  PM,31.880,0.0,,
188,06/13/14 10:18:06  PM,31.880,0.0,,
189,06/13/14 10:19:06  PM,31.880,0.0,,
190,06/13/14 10:20:06  PM,31.880,0.0,,
191,06/13/14 10:21:06  PM,31.880,0.0,,
192,06/13/14 10:22:06  PM,31.880,0.0,,
193,06/13/14 10:23:06  PM,31.880,0.0,,
194,06/13/14 10:24:06  PM,31.880,0.0,,
195,06/13/14 10:25:06  PM,31.880,0.0,,
196,06/13/14 10:26:06  PM,31.880,0.0,,
197,06/13/14 10:27:06  PM,31.880,0.0,,
198,06/13/14 10:28:06  PM,31.983,0.0,,
199,06/13/14 10:29:06  PM,31.880,0.0,,
200,06/13/14 10:30:06  PM,31.880,0.0,,
201,06/13/14 10:31:06  PM,31.880,0.0,,
202,06/13/14 10:32:06  PM,31.880,0.0,,
203,06/13/14 10:33:06  PM,31.880,0.0,,
204,06/13/14 10:34:06  PM,31.983,0.0,,
205,06/13/14 10:35:06  PM,31.880,0.0,,
206,06/13/14 10:36:06  PM,31.880,0.0,,
207,06/13/14 10:37:06  PM,31.880,0.0,,
208,06/13/14 10:38:06  PM,31.983,0.0,,
209,06/13/14 10:39:06  PM,31.983,0.0,,
210,06/13/14 10:40:06  PM,31.880,0.0,,
211,06/13/14 10:41:06  PM,31.880,0.0,,
212,06/13/14 10:42:06  PM,31.880,0.0,,
213,06/13/14 10:43:06  PM,31.880,0.0,,
214,06/13/14 10:44:06  PM,31.983,0.0,,
215,06/13/14 10:45:06  PM,31.880,0.0,,
216,06/13/14 10:46:06  PM,31.880,0.0,,
217,06/13/14 10:47:06  PM,31.880,0.0,,
218,06/13/14 10:48:06  PM,31.983,0.0,,
219,06/13/14 10:49:06  PM,31.880,0.0,,
220,06/13/14 10:50:06  PM,31.880,0.0,,
221,06/13/14 10:51:06  PM,31.880,0.0,,
222,06/13/14 10:52:06  PM,31.983,0.0,,
223,06/13/14 10:53:06  PM,31.983,0.0,,
224,06/13/14 10:54:06  PM,31.983,0.0,,
225,06/13/14 10:55:06  PM,31.983,0.0,,
226,06/13/14 10:56:06  PM,31.880,0.0,,
227,06/13/14 10:57:06  PM,31.880,0.0,,
228,06/13/14 10:58:06  PM,31.880,0.0,,
229,06/13/14 10:59:06  PM,31.880,0.0,,
230,06/13/14 11:00:06  PM,31.880,0.0,,
231,06/13/14 11:01:06  PM,31.880,0.0,,
232,06/13/14 11:02:06  PM,31.880,0.0,,
233,06/13/14 11:03:06  PM,31.880,0.0,,
234,06/13/14 11:04:06  PM,31.880,0.0,,
235,06/13/14 11:05:06  PM,31.880,0.0,,
236,06/13/14 11:06:06  PM,31.880,0.0,,
237,06/13/14 11:07:06  PM,31.880,0.0,,
238,06/13/14 11:08:06  PM,31.880,0.0,,
239,06/13/14 11:09:06  PM,31.880,0.0,,
240,06/13/14 11:10:06  PM,31.880,0.0,,
241,06/13/14 11:11:06  PM,31.880,0.0,,
242,06/13/14 11:12:06  PM,31.880,0.0,,
243,06/13/14 11:13:06  PM,31.880,0.0,,
244,06/13/14 11:14:06  PM,31.880,0.0,,
245,06/13/14 11:15:06  PM,31.983,0.0,,
246,06/13/14 11:16:06  PM,31.880,0.0,,
247,06/13/14 11:17:06  PM,31.880,0.0,,
248,06/13/14 11:18:06  PM,31.880,0.0,,
249,06/13/14 11:19:06  PM,31.880,0.0,,
250,06/13/14 11:20:06  PM,31.880,0.0,,
251,06/13/14 11:21:06  PM,31.880,0.0,,
252,06/13/14 11:22:06  PM,31.880,0.0,,
253,06/13/14 11:23:06  PM,31.880,0.0,,
254,06/13/14 11:24:06  PM,31.880,0.0,,
255,06/13/14 11:25:06  PM,31.880,0.0,,
256,06/13/14 11:26:06  PM,31.880,0.0,,
257,06/13/14 11:27:06  PM,31.983,0.0,,
258,06/13/14 11:28:06  PM,31.983,0.0,,
259,06/13/14 11:29:06  PM,31.880,0.0,,
260,06/13/14 11:30:06  PM,31.880,0.0,,
261,06/13/14 11:31:06  PM,31.880,0.0,,
262,06/13/14 11:32:06  PM,31.880,0.0,,
263,06/13/14 11:33:06  PM,31.880,0.0,,
264,06/13/14 11:34:06  PM,31.880,0.0,,
265,06/13/14 11:35:06  PM,31.880,0.0,,
266,06/13/14 11:36:06  PM,31.880,0.0,,
267,06/13/14 11:37:06  PM,31.880,0.0,,
268,06/13/14 11:38:06  PM,31.880,0.0,,
269,06/13/14 11:39:06  PM,31.880,0.0,,
270,06/13/14 11:40:06  PM,31.880,0.0,,
