Name,CL.1d_log2,CL.3d_log2,AH.1d_log2,AH.3d_log2,CL.1d,CL.3d,AH.1d,AH.3d
aug_v2a.09541,-0.573116989,NA,-0.439239012,NA,0,0,0,0
aug_v2a.16134,-0.572746798,NA,-0.33056018,-0.456462234,0,0,0,0
aug_v2a.14322,-0.572676224,NA,-0.383120669,-0.43741591,0,0,0,0
aug_v2a.07698,-0.572625276,-0.466243031,NA,NA,0,0,0,0
aug_v2a.02919,-0.572537117,NA,-0.425229418,NA,0,0,0,0
aug_v2a.14880,-0.572059151,NA,NA,NA,0,0,0,0
aug_v2a.12133,-0.572035335,NA,NA,NA,0,0,0,0
aug_v2a.14788,-0.571828051,NA,NA,NA,0,0,0,0
aug_v2a.11165,-0.571582185,NA,-1.845019575,-0.842144071,0,0,1,1
aug_v2a.02766,-0.571102223,NA,-0.434274254,-0.320067057,0,0,0,0
aug_v2a.18093,-0.570902789,NA,NA,NA,0,0,0,0
aug_v2a.05534,-0.569306898,NA,-0.468505278,-0.50652035,0,0,0,0
aug_v2a.06262,-0.569189577,NA,NA,NA,0,0,0,0
aug_v2a.01887,-0.569069526,NA,-0.442706203,NA,0,0,0,0
aug_v2a.00918,-0.568690596,NA,-0.37762524,NA,0,0,0,0
aug_v2a.18972,-0.568646177,NA,-0.717603357,-0.760311401,0,0,1,1
aug_v2a.14905,-0.568487592,NA,-0.544006246,NA,0,0,0,0
aug_v2a.08506,-0.567955386,NA,-0.534844618,-0.491728035,0,0,0,0
aug_v2a.01937,-0.56789653,NA,-0.425953686,NA,0,0,0,0
aug_v2a.12149,-0.56778355,NA,NA,NA,0,0,0,0
aug_v2a.02146,-0.565165568,NA,NA,NA,0,0,0,0
aug_v2a.06506,-0.564438582,NA,-0.415302323,NA,0,0,0,0
aug_v2a.05417,-0.563596065,-0.477270089,-0.631816722,-0.379730703,0,0,1,0
aug_v2a.15910,-0.5630685,-0.39809725,NA,NA,0,0,0,0
aug_v2a.08496,-0.561218553,NA,NA,NA,0,0,0,0
aug_v2a.24463,-0.560788598,NA,-0.403224665,NA,0,0,0,0
aug_v2a.04109,-0.560365926,NA,-0.516432416,NA,0,0,0,0
aug_v2a.14259,-0.55964573,NA,NA,NA,0,0,0,0
aug_v2a.06549,-0.559473749,NA,-0.774261484,-0.526625175,0,0,1,0
aug_v2a.07045,-0.559059622,NA,-0.613944845,-0.718479936,0,0,1,1
aug_v2a.17730,-0.558847289,NA,NA,NA,0,0,0,0
aug_v2a.17982,-0.558676676,NA,-0.526260787,-0.584353907,0,0,0,0
aug_v2a.21256,-0.558473452,NA,-0.429174664,-0.463487022,0,0,0,0
aug_v2a.02207,-0.558157804,NA,NA,NA,0,0,0,0
aug_v2a.15215,-0.558089169,NA,-0.457193695,NA,0,0,0,0
aug_v2a.09372,-0.557762149,NA,NA,NA,0,0,0,0
aug_v2a.21303,-0.557255816,NA,NA,NA,0,0,0,0
aug_v2a.13108,-0.556727936,NA,-0.456088958,-0.654819386,0,0,0,1
aug_v2a.10424,-0.555983599,NA,NA,NA,0,0,0,0
aug_v2a.04646,-0.555865642,NA,-0.569937245,NA,0,0,0,0
aug_v2a.12227,-0.555860331,NA,-0.477671988,-0.406501777,0,0,0,0
aug_v2a.11746,-0.555437249,NA,NA,NA,0,0,0,0
aug_v2a.14249,-0.555040031,NA,NA,NA,0,0,0,0
aug_v2a.08118,-0.554904632,NA,-0.408267971,NA,0,0,0,0
aug_v2a.05535,-0.554890443,NA,-0.428712531,-0.419899872,0,0,0,0
aug_v2a.11723,-0.554824596,NA,NA,NA,0,0,0,0
aug_v2a.19135,-0.554549518,NA,NA,NA,0,0,0,0
aug_v2a.07556,-0.554254718,NA,-0.367270241,NA,0,0,0,0
aug_v2a.23278,-0.553928751,NA,NA,NA,0,0,0,0
