M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25
aug_v2a.00494	aug_v2a.05984	aug_v2a.14743	aug_v2a.08282	NA	aug_v2a.13035	NA	aug_v2a.22693	aug_v2a.09305	aug_v2a.08958	aug_v2a.08501	aug_v2a.15129	aug_v2a.16142	aug_v2a.20465	aug_v2a.20570	aug_v2a.09654	aug_v2a.24078	aug_v2a.23064	aug_v2a.14098	aug_v2a.17057	aug_v2a.01961	aug_v2a.08443	aug_v2a.06069	aug_v2a.17427	aug_v2a.11411
aug_v2a.01024	aug_v2a.18839	aug_v2a.06529	aug_v2a.14228	NA	aug_v2a.01994	NA	aug_v2a.18691	aug_v2a.18101	aug_v2a.13747	aug_v2a.06719	aug_v2a.01305	aug_v2a.13869	aug_v2a.01672	aug_v2a.07328	aug_v2a.15169	aug_v2a.14911	aug_v2a.02059	aug_v2a.14672	aug_v2a.18123	aug_v2a.05666	aug_v2a.17589	aug_v2a.22987	aug_v2a.15485	aug_v2a.03056
aug_v2a.11550	aug_v2a.11253	aug_v2a.21005	aug_v2a.11140	NA	aug_v2a.03233	NA	aug_v2a.04538	aug_v2a.05239	aug_v2a.14844	aug_v2a.11916	aug_v2a.11634	aug_v2a.08577	aug_v2a.13936	aug_v2a.00239	aug_v2a.02428	aug_v2a.10183	aug_v2a.17334	aug_v2a.03641	aug_v2a.07421	aug_v2a.15171	aug_v2a.02852	aug_v2a.06058	aug_v2a.19867	aug_v2a.07117
aug_v2a.11807	aug_v2a.21071	aug_v2a.13413	aug_v2a.17901	NA	aug_v2a.10311	NA	aug_v2a.00699	NA	aug_v2a.10241	aug_v2a.16204	aug_v2a.17131	aug_v2a.17660	aug_v2a.02380	aug_v2a.22792	aug_v2a.11211	aug_v2a.18892	aug_v2a.12101	aug_v2a.11734	aug_v2a.04042	aug_v2a.10626	aug_v2a.00984	aug_v2a.02947	aug_v2a.12749	aug_v2a.21413
aug_v2a.03919	aug_v2a.14912	aug_v2a.10712	aug_v2a.13802	NA	aug_v2a.03232	NA	aug_v2a.16259	NA	aug_v2a.15344	aug_v2a.05691	aug_v2a.24370	aug_v2a.05503	aug_v2a.11572	aug_v2a.00190	aug_v2a.05576	aug_v2a.03080	aug_v2a.18283	aug_v2a.11516	aug_v2a.23690	aug_v2a.17906	aug_v2a.20263	aug_v2a.16743	aug_v2a.15838	aug_v2a.05037
aug_v2a.23911	aug_v2a.08542	aug_v2a.23551	aug_v2a.18279	NA	aug_v2a.10974	NA	aug_v2a.23481	NA	aug_v2a.01266	aug_v2a.02485	aug_v2a.22631	aug_v2a.17985	aug_v2a.12322	aug_v2a.05482	aug_v2a.05030	aug_v2a.24009	aug_v2a.11885	aug_v2a.20126	aug_v2a.23945	aug_v2a.01635	aug_v2a.09038	aug_v2a.13573	aug_v2a.23815	aug_v2a.02377
aug_v2a.03754	aug_v2a.12175	aug_v2a.17935	aug_v2a.05209	NA	aug_v2a.20603	NA	aug_v2a.06296	NA	aug_v2a.11176	aug_v2a.12130	aug_v2a.16427	aug_v2a.20408	aug_v2a.18248	aug_v2a.09996	aug_v2a.23933	aug_v2a.23745	aug_v2a.21390	aug_v2a.09643	aug_v2a.00991	aug_v2a.19897	aug_v2a.15823	aug_v2a.23349	aug_v2a.16829	aug_v2a.14147
aug_v2a.04703	aug_v2a.04916	aug_v2a.09970	aug_v2a.16137	NA	aug_v2a.22604	NA	aug_v2a.09583	NA	aug_v2a.02416	aug_v2a.14841	aug_v2a.06098	aug_v2a.00824	aug_v2a.10442	aug_v2a.02714	aug_v2a.08825	aug_v2a.10071	aug_v2a.18660	aug_v2a.11281	aug_v2a.20599	aug_v2a.20619	aug_v2a.16001	aug_v2a.15634	aug_v2a.11587	aug_v2a.08816
aug_v2a.24591	aug_v2a.13556	aug_v2a.18771	aug_v2a.03917	NA	aug_v2a.19071	NA	aug_v2a.01418	NA	aug_v2a.22469	aug_v2a.18407	aug_v2a.10051	aug_v2a.04949	aug_v2a.13572	aug_v2a.13725	aug_v2a.08682	aug_v2a.14980	aug_v2a.18359	aug_v2a.11282	aug_v2a.22873	aug_v2a.14264	aug_v2a.18468	aug_v2a.02896	aug_v2a.18379	aug_v2a.24472
aug_v2a.21827	aug_v2a.06246	aug_v2a.21727	aug_v2a.02598	NA	aug_v2a.04875	NA	aug_v2a.07192	NA	aug_v2a.20970	aug_v2a.17189	aug_v2a.19715	aug_v2a.04950	aug_v2a.21925	aug_v2a.19893	aug_v2a.05085	aug_v2a.03598	aug_v2a.02608	aug_v2a.12534	aug_v2a.01884	aug_v2a.22586	aug_v2a.20372	aug_v2a.11491	aug_v2a.23016	aug_v2a.12587
aug_v2a.11303	aug_v2a.11739	aug_v2a.24263	aug_v2a.04270	NA	aug_v2a.21348	NA	aug_v2a.22557	NA	aug_v2a.07972	aug_v2a.16249	aug_v2a.13524	aug_v2a.04901	aug_v2a.01045	aug_v2a.14263	aug_v2a.10252	aug_v2a.06786	aug_v2a.22473	aug_v2a.07183	aug_v2a.03591	aug_v2a.07007	aug_v2a.09501	aug_v2a.03360	aug_v2a.19493	aug_v2a.20487
aug_v2a.18013	aug_v2a.02363	aug_v2a.20415	aug_v2a.02770	NA	aug_v2a.11984	NA	aug_v2a.11279	NA	aug_v2a.11455	aug_v2a.16496	aug_v2a.24125	aug_v2a.09412	aug_v2a.16223	aug_v2a.02701	aug_v2a.04588	aug_v2a.04639	aug_v2a.10482	aug_v2a.23217	aug_v2a.07618	aug_v2a.07451	aug_v2a.13742	aug_v2a.23118	aug_v2a.23019	aug_v2a.14110
aug_v2a.18139	aug_v2a.02986	aug_v2a.01998	aug_v2a.07133	NA	aug_v2a.08262	NA	aug_v2a.16107	NA	aug_v2a.13312	aug_v2a.07597	aug_v2a.17956	aug_v2a.18382	aug_v2a.06168	aug_v2a.07539	aug_v2a.16622	aug_v2a.04249	aug_v2a.17260	aug_v2a.04938	aug_v2a.15172	aug_v2a.09287	aug_v2a.19500	aug_v2a.20013	aug_v2a.11334	aug_v2a.16167
aug_v2a.03537	aug_v2a.07960	aug_v2a.10156	aug_v2a.10916	NA	aug_v2a.01819	NA	aug_v2a.21613	NA	aug_v2a.00480	aug_v2a.10099	aug_v2a.19010	aug_v2a.15775	aug_v2a.07867	aug_v2a.07861	aug_v2a.19179	aug_v2a.00811	aug_v2a.16489	aug_v2a.20413	aug_v2a.02518	aug_v2a.05337	aug_v2a.20492	aug_v2a.00849	aug_v2a.20349	aug_v2a.17065
aug_v2a.23477	aug_v2a.16969	aug_v2a.19814	aug_v2a.14781	NA	aug_v2a.12203	NA	aug_v2a.16499	NA	aug_v2a.12883	aug_v2a.11945	aug_v2a.06061	aug_v2a.22734	aug_v2a.11903	aug_v2a.02504	aug_v2a.02723	aug_v2a.03671	aug_v2a.08113	aug_v2a.12308	aug_v2a.09021	aug_v2a.00108	aug_v2a.14404	aug_v2a.21332	aug_v2a.11066	aug_v2a.06637
aug_v2a.21072	aug_v2a.03354	aug_v2a.21291	aug_v2a.18957	NA	aug_v2a.05725	NA	aug_v2a.02771	NA	aug_v2a.04835	aug_v2a.21857	aug_v2a.20667	aug_v2a.17832	aug_v2a.13301	aug_v2a.08515	aug_v2a.04872	aug_v2a.19354	aug_v2a.03546	aug_v2a.06969	aug_v2a.10964	aug_v2a.02765	aug_v2a.13848	aug_v2a.21382	aug_v2a.19648	aug_v2a.09148
aug_v2a.24114	aug_v2a.21404	NA	aug_v2a.06039	NA	aug_v2a.11130	NA	aug_v2a.02708	NA	aug_v2a.20463	aug_v2a.01076	aug_v2a.08370	aug_v2a.23398	aug_v2a.00116	aug_v2a.07999	NA	aug_v2a.08115	aug_v2a.23693	aug_v2a.06970	aug_v2a.04446	aug_v2a.12146	aug_v2a.09022	aug_v2a.09006	aug_v2a.07712	aug_v2a.13525
aug_v2a.10056	aug_v2a.07603	NA	aug_v2a.18554	NA	aug_v2a.23931	NA	aug_v2a.09805	NA	aug_v2a.01810	aug_v2a.11650	aug_v2a.22865	aug_v2a.09611	aug_v2a.09007	aug_v2a.04893	NA	aug_v2a.13623	aug_v2a.17203	aug_v2a.00465	aug_v2a.19482	aug_v2a.21323	aug_v2a.19454	aug_v2a.08269	aug_v2a.15532	aug_v2a.16326
aug_v2a.14709	aug_v2a.00066	NA	aug_v2a.09354	NA	aug_v2a.23932	NA	NA	NA	aug_v2a.04515	aug_v2a.15579	aug_v2a.18262	aug_v2a.09251	aug_v2a.18367	aug_v2a.23188	NA	aug_v2a.16299	aug_v2a.00506	aug_v2a.07184	aug_v2a.21671	aug_v2a.06230	aug_v2a.10559	aug_v2a.05974	aug_v2a.07422	aug_v2a.19038
aug_v2a.05522	aug_v2a.06253	NA	aug_v2a.18992	NA	aug_v2a.18946	NA	NA	NA	aug_v2a.09076	aug_v2a.13262	aug_v2a.06497	aug_v2a.23457	aug_v2a.20578	aug_v2a.22695	NA	aug_v2a.04868	aug_v2a.19527	aug_v2a.03710	aug_v2a.19231	aug_v2a.14416	aug_v2a.00547	aug_v2a.19677	aug_v2a.16324	aug_v2a.21405
