SH.1d	SH.3d	AH.1d	AH.3d	SC.1d	SC.3d	Met
K17495	NA	K01276	K02739	K02726	K09680	K00685
K17509	NA	K01278	K02830	K02729	K09848	K00688
K17529	NA	K01285	K02868	K02730	K10153	K00688
K17535	NA	K01301	K02875	K02734	K10153	K00688
K17600	NA	K01302	K02882	K02734	K10251	K00698
K17768	NA	K01303	K02883	K02734	K10352	K00699
K17906	NA	K01303	K02885	K02735	K10352	K00699
K17936	NA	K01304	K02889	K02736	K10352	K00699
K18081	NA	K01307	K02894	K02738	K10362	K00700
K18465	NA	K01316	K02896	K02739	K10369	K00710
K18754	NA	K01332	K02896	K02830	K10380	K00710
K19466	NA	K01332	K02908	K02864	K10396	K00710
K19475	NA	K01338	K02920	K02868	K10397	K00710
K19499	NA	K01345	K02926	K02874	K10400	K00710
K19526	NA	K01349	K02927	K02875	K10407	K00714
K19636	NA	K01351	K02929	K02882	K10407	K00714
K19720	NA	K01358	K02935	K02883	K10443	K00714
K19720	NA	K01362	K02936	K02885	K10443	K00716
K19721	NA	K01365	K02938	K02889	K10446	K00726
K19867	NA	K01369	K02940	K02892	K10450	K00728
K20068	NA	K01411	K02941	K02894	K10456	K00728
K20296	NA	K01414	K02941	K02895	K10457	K00728
K20314	NA	K01415	K02943	K02896	K10464	K00734
K20367	NA	K01415	K02948	K02896	K10478	K00736
K20456	NA	K01415	K02949	K02896	K10532	K00736
K20630	NA	K01415	K02953	K02899	K10532	K00744
K20827	NA	K01415	K02964	K02902	K10589	K00744
K22078	NA	K01415	K02983	K02907	K10592	K00744
K22182	NA	K01415	K02983	K02908	K10624	K00744
K22290	NA	K01426	K02984	K02920	K10630	K00744
K22614	NA	K01431	K02991	K02926	K10645	K00744
K22615	NA	K01442	K03002	K02927	K10645	K00744
K23008	NA	K01443	K03024	K02929	K10695	K00744
K23033	NA	K01462	K03028	K02935	K10728	K00746
K23390	NA	K01469	K03031	K02936	K10728	K00753
K23488	NA	K01469	K03031	K02938	K10739	K00761
K23488	NA	K01480	K03033	K02940	K10841	K00763
K23588	NA	K01495	K03033	K02941	K10862	K00764
K23705	NA	K01509	K03037	K02941	K10876	K00771
K23714	NA	K01511	K03039	K02943	K10899	K00774
K23731	NA	K01513	K03062	K02948	K11090	K00784
K23965	NA	K01514	K03063	K02953	K11224	K00784
K23972	NA	K01520	K03068	K02959	K11253	K00799
NA	NA	K01525	K03068	K02959	K11257	K00799
NA	NA	K01527	K03068	K02961	K11422	K00809
NA	NA	K01527	K03094	K02964	K11468	K00812
NA	NA	K01530	K03103	K02967	K11564	K00814
NA	NA	K01530	K03106	K02970	K11592	K00814
NA	NA	K01530	K03107	K02983	K11592	K00814
NA	NA	K01530	K03130	K02983	K11593	K00814
NA	NA	K01555	K03133	K02984	K11593	K00814
NA	NA	K01555	K03134	K02991	K11654	K00814
NA	NA	K01557	K03163	K02999	K11655	K00815
NA	NA	K01558	K03163	K02999	K11655	K00820
NA	NA	K01667	K03173	K03002	K11699	K00830
NA	NA	K01669	K03173	K03011	K11699	K00846
NA	NA	K01672	K03175	K03012	K11699	K00849
NA	NA	K01681	K03175	K03014	K11967	K00850
NA	NA	K01689	K03175	K03016	K11974	K00850
NA	NA	K01692	K03188	K03017	K11974	K00850
NA	NA	K01698	K03233	K03018	K12021	K00850
NA	NA	K01712	K03234	K03019	K12182	K00852
NA	NA	K01712	K03234	K03023	K12190	K00856
NA	NA	K01719	K03239	K03031	K12197	K00857
NA	NA	K01719	K03241	K03031	K12231	K00857
NA	NA	K01723	K03249	K03063	K12309	K00858
NA	NA	K01733	K03249	K03064	K12345	K00863
NA	NA	K01733	K03252	K03094	K12373	K00864
NA	NA	K01749	K03260	K03094	K12373	K00869
NA	NA	K01755	K03262	K03107	K12400	K00871
NA	NA	K01756	K03263	K03108	K12401	K00873
NA	NA	K01768	K03283	K03128	K12492	K00876
NA	NA	K01783	K03283	K03134	K12493	K00876
NA	NA	K01783	K03331	K03135	K12559	K00876
NA	NA	K01800	K03349	K03143	K12584	K00884
NA	NA	K01800	K03353	K03165	K12647	K00901
NA	NA	K01802	K03355	K03175	K12654	K00901
NA	NA	K01809	K03377	K03188	K12669	K00901
NA	NA	K01823	K03377	K03193	K12795	K00901
NA	NA	K01866	K03392	K03232	K12818	K00901
NA	NA	K01866	K03512	K03239	K12818	K00905
NA	NA	K01868	K03537	K03240	K12821	K00907
NA	NA	K01870	K03593	K03249	K12856	K00907
NA	NA	K01883	K03593	K03255	K12941	K00907
NA	NA	K01886	K03626	K03255	K13100	K00921
NA	NA	K01896	K03626	K03263	K13106	K00922
NA	NA	K01897	K03649	K03267	K13172	K00923
NA	NA	K01899	K03652	K03267	K13172	K00927
NA	NA	K01908	K03766	K03283	K13174	K00927
NA	NA	K01908	K03842	K03283	K13211	K00933
NA	NA	K01908	K03848	K03331	K13247	K00933
NA	NA	K01915	K03848	K03358	K13697	K00933
NA	NA	K01930	K03858	K03424	K13709	K00939
NA	NA	K01937	K03861	K03505	K13709	K00939
NA	NA	K01937	K03872	K03506	K13753	K00942
NA	NA	K01939	K03934	K03574	K13807	K00943
NA	NA	K01948	K03934	K03626	K13864	K00953
NA	NA	K01951	K03936	K03627	K13866	K00963
NA	NA	K01953	K03937	K03649	K13907	K00963
NA	NA	K01974	K03955	K03652	K13912	K00965
NA	NA	K02105	K03992	K03661	K13912	K00967
NA	NA	K02128	K04231	K03676	K14011	K00972
NA	NA	K02133	K04307	K03681	K14079	K00974
NA	NA	K02136	K04314	K03687	K14163	K00981
NA	NA	K02138	K04362	K03861	K14206	K00999
NA	NA	K02145	K04364	K03868	K14216	K01008
NA	NA	K02147	K04371	K03871	K14326	K01016
NA	NA	K02150	K04371	K03872	K14379	K01017
NA	NA	K02150	K04377	K03936	K14386	K01017
NA	NA	K02151	K04382	K03937	K14416	K01017
NA	NA	K02155	K04393	K03938	K14429	K01019
NA	NA	K02157	K04428	K03939	K14440	K01020
NA	NA	K02168	K04450	K03943	K14553	K01020
NA	NA	K02183	K04456	K03948	K14589	K01020
NA	NA	K02183	K04489	K03952	K14610	K01020
NA	NA	K02183	K04552	K03955	K14616	K01020
NA	NA	K02183	K04569	K03956	K14620	K01022
NA	NA	K02183	K04571	K03964	K14638	K01025
NA	NA	K02187	K04571	K03992	K14782	K01025
NA	NA	K02187	K04592	K04078	K14816	K01025
NA	NA	K02187	K04600	K04078	K15015	K01045
NA	NA	K02208	K04659	K04163	K15047	K01045
NA	NA	K02212	K04682	K04231	K15074	K01047
