ID	logFC	adj.P.Val
aug_v2a.02235	-0.713944644	0.001361299
aug_v2a.14190	-0.712522332	0.0000341
aug_v2a.04389	-0.712298105	0.001890758
aug_v2a.16845	-0.712047145	0.003763857
aug_v2a.10368	-0.712004747	0.007822695
aug_v2a.07385	-0.711444166	0.00394496
aug_v2a.10578	-0.710953637	0.048190936
aug_v2a.03709	-0.709376984	0.000122719
aug_v2a.01188	-0.709355688	0.028397957
aug_v2a.05261	-0.709348357	0.00127148
aug_v2a.18668	-0.709100764	0.000989872
aug_v2a.11308	-0.708952846	0.0000162
aug_v2a.14577	-0.708805263	0.000523666
aug_v2a.00709	-0.707356685	0.0000182
aug_v2a.14506	-0.707063754	0.000429204
aug_v2a.12109	-0.706676351	0.000134751
aug_v2a.13270	-0.706656473	0.002590048
aug_v2a.08936	-0.706656078	0.014159011
aug_v2a.19737	-0.706015313	0.0000921
aug_v2a.05204	-0.703755419	0.00000265
aug_v2a.21442	-0.702480317	0.009986244
aug_v2a.16206	-0.702332054	0.013014492
aug_v2a.20666	-0.702026906	0.000237778
aug_v2a.19115	-0.701089945	0.010732834
aug_v2a.21454	-0.700129115	0.004672356
aug_v2a.01263	-0.699712269	0.001596497
aug_v2a.20068	-0.699478051	0.000836521
aug_v2a.00976	-0.699440213	0.000887259
aug_v2a.02553	-0.699392835	0.010206081
aug_v2a.01400	-0.697930859	0.00000332
aug_v2a.03420	-0.697564078	0.036541351
aug_v2a.06116	-0.697096164	0.000701689
aug_v2a.12066	-0.696731282	0.010260735
aug_v2a.02595	-0.696556572	0.0000268
aug_v2a.11577	-0.695518691	0.000178675
aug_v2a.01161	-0.691815592	0.002453151
aug_v2a.16352	-0.691277434	0.0000177
aug_v2a.24272	-0.691263931	0.004292781
aug_v2a.17463	-0.691029167	0.000277414
aug_v2a.11392	-0.690638767	0.002370091
aug_v2a.12990	-0.690623182	0.00016935
aug_v2a.12564	-0.688601172	0.001414821
aug_v2a.14814	-0.68740912	0.000262501
aug_v2a.07499	-0.687243068	0.000826683
aug_v2a.04353	-0.686926001	0.003014041
aug_v2a.01239	-0.686742505	0.000517982
aug_v2a.09056	-0.686583757	0.000203492
aug_v2a.22658	-0.686235876	0.027158804
aug_v2a.24364	-0.685760878	0.00012924
aug_v2a.05354	-0.684345492	0.025960313
aug_v2a.08753	-0.682881216	1.77E-08
aug_v2a.17608	-0.682863128	0.001492764
aug_v2a.05481	-0.682258307	0.002426178
aug_v2a.00868	-0.682218435	0.002451332
aug_v2a.07601	-0.681662892	0.000493855
aug_v2a.08319	-0.68151945	0.004797084
aug_v2a.02808	-0.681354603	0.025272956
aug_v2a.09024	-0.681082354	0.000385683
aug_v2a.12875	-0.680925046	0.0000805
aug_v2a.13668	-0.679661384	0.0000117
aug_v2a.20733	-0.679543677	0.010209821
aug_v2a.16869	-0.67910738	0.00000285
aug_v2a.10533	-0.678745536	0.000401875
aug_v2a.22305	-0.677707591	0.003267859
aug_v2a.01110	-0.676936127	0.000560583
aug_v2a.13988	-0.676493547	0.006026824
aug_v2a.04221	-0.675092831	0.00023411
aug_v2a.22637	-0.674488186	0.025410256
aug_v2a.08949	-0.674378091	0.007699898
aug_v2a.23001	-0.674353046	0.005326688
aug_v2a.17784	-0.673167519	0.000168644
aug_v2a.23249	-0.673029193	0.000838762
aug_v2a.02166	-0.6729499	0.010310865
aug_v2a.16761	-0.672802285	0.00000328
aug_v2a.20466	-0.671989539	0.00043875
aug_v2a.07275	-0.671665309	0.0000543
aug_v2a.04030	-0.671642983	0.000159686
aug_v2a.21524	-0.671633919	0.001987248
aug_v2a.15150	-0.671074643	0.002239497
aug_v2a.24409	-0.670772716	0.000951012
aug_v2a.17665	-0.67025626	0.023674277
aug_v2a.18598	-0.670205382	0.010415932
aug_v2a.01043	-0.670190447	0.000320203
aug_v2a.00067	-0.669821461	0.002018534
aug_v2a.21599	-0.669570645	0.015096998
aug_v2a.19741	-0.668706598	0.003344134
aug_v2a.20461	-0.668473818	0.001938036
aug_v2a.18274	-0.668165887	0.000286205
aug_v2a.13885	-0.667917919	0.0000642
aug_v2a.18500	-0.667762138	0.000024
aug_v2a.11736	-0.667742139	0.002718132
aug_v2a.13133	-0.667153708	0.0000609
aug_v2a.05880	-0.667011382	0.00090825
aug_v2a.12671	-0.666983341	0.018550014
aug_v2a.09896	-0.666789339	0.001422471
aug_v2a.02103	-0.666503931	0.000700859
aug_v2a.13735	-0.666372927	0.048190936
aug_v2a.19629	-0.66589536	0.010947261
aug_v2a.19368	-0.665567032	0.004792205
aug_v2a.15577	-0.664874668	0.0000208
aug_v2a.07700	-0.66484774	0.005655
aug_v2a.12196	-0.663851714	0.00000106
aug_v2a.10374	-0.663833422	0.0000778
aug_v2a.11189	-0.6635893	0.022472832
aug_v2a.23999	-0.663413073	0.001087491
aug_v2a.23736	-0.663351312	0.000863491
aug_v2a.10669	-0.663323919	0.0000446
aug_v2a.15206	-0.663037222	0.000144419
aug_v2a.09510	-0.662852719	0.000168603
aug_v2a.01304	-0.662359444	0.000478854
aug_v2a.06674	-0.662321079	0.001391486
aug_v2a.10849	-0.662050251	0.00000937
aug_v2a.15208	-0.661332625	0.00000978
aug_v2a.11440	-0.660842587	0.01999785
aug_v2a.01466	-0.659702313	0.000016
aug_v2a.03149	-0.658974478	0.001774132
aug_v2a.07500	-0.658087509	0.000334235
aug_v2a.09023	-0.657903537	0.000246289
aug_v2a.09339	-0.657788097	0.03895777
aug_v2a.14281	-0.657473342	0.00015998
aug_v2a.21590	-0.65700077	0.0000898
aug_v2a.17478	-0.656547865	0.013882166
aug_v2a.21830	-0.65586433	0.001465328
aug_v2a.10191	-0.655233577	0.002658966
aug_v2a.12042	-0.654412337	0.011525941
aug_v2a.15348	-0.654002348	0.006845128
aug_v2a.11809	-0.653908275	0.000327432
aug_v2a.02067	-0.653050679	0.0000317
aug_v2a.10143	-0.651968519	0.0000114
aug_v2a.01282	-0.651900717	0.00000733
aug_v2a.15207	-0.651595566	0.00000871
aug_v2a.04888	-0.651229461	0.000145963
aug_v2a.03777	-0.650689461	0.000990633
aug_v2a.08073	-0.650169412	0.048389192
aug_v2a.19140	-0.650156131	0.013854877
aug_v2a.10361	-0.64979765	0.000755355
aug_v2a.06035	-0.648229334	0.026566756
aug_v2a.20449	-0.647991894	0.0000188
aug_v2a.05936	-0.647987623	0.004783249
aug_v2a.10340	-0.646973047	0.000141822
aug_v2a.01714	-0.646705736	0.00105155
aug_v2a.15170	-0.645126547	0.000330489
aug_v2a.16409	-0.644967434	0.002233915
aug_v2a.19917	-0.644790849	0.0000306
aug_v2a.09061	-0.644426662	0.000338399
aug_v2a.13510	-0.644286194	0.0000629
aug_v2a.03012	-0.643891998	0.007021767
aug_v2a.10949	-0.643695006	0.00000156
aug_v2a.03380	-0.642841973	0.003567084
aug_v2a.22533	-0.642659637	0.034406723
aug_v2a.10625	-0.642627315	0.00436763
aug_v2a.12512	-0.642289876	0.000065
aug_v2a.11219	-0.641983067	0.0000113
aug_v2a.19712	-0.641471975	0.000979334
aug_v2a.16509	-0.641156777	0.00000538
aug_v2a.06018	-0.641004291	0.0000567
aug_v2a.23709	-0.640843532	0.012585247
aug_v2a.20420	-0.640734021	0.000147648
aug_v2a.03697	-0.640722856	0.0000108
aug_v2a.11503	-0.640165389	0.04930515
aug_v2a.01890	-0.639444	0.000374661
aug_v2a.07687	-0.638804323	0.001062625
aug_v2a.14436	-0.638697505	0.00000259
aug_v2a.02170	-0.638257711	0.0000221
