M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25
K00814	K01558	K10885	K01415	K14007	K01179	NA	K13868	K05291	K00451	K00034	K00236	K01243	K04989	K01376	K09067	K02936	K00685	K03010	K00889	K00889	K04988	K01597	K01411	K03173
K01047	K02739	K11141	K01712	K14411	K01192	NA	K14314	K05770	K00451	K00049	K00288	K01301	K06669	K01415	K09584	K03037	K00710	K03163	K00907	K00907	K04988	K01886	K01488	K03654
K01047	K03256	K11434	K01922	K19526	K01469	NA	K17341	K05770	K00456	K00106	K00306	K01332	K06816	K01415	K11583	K03037	K00744	K03254	K00907	K00910	K05305	K01969	K01530	K03654
K01047	K03593	K11462	K01937	K23487	K01469	NA	K18622	K06916	K00457	K00128	K00326	K01369	K07190	K01513	K11778	K03039	K00771	K03260	K00907	K00939	K05315	K02374	K01942	K03678
K01077	K03593	K11799	K01951	K23612	K01537	NA	K19719	K06997	K00464	K00128	K00357	K01426	K07195	K01681	K11778	K03236	K00888	K03260	K00921	K00939	K05315	K03027	K02599	K04307
K01126	K04728	K12481	K02321	NA	K01537	NA	K19719	K07299	K00477	K00128	K00365	K01432	K08040	K01719	K12462	K03237	K00888	K04362	K00921	K01019	K05673	K03083	K02599	K04307
K01206	K05015	K12847	K02599	NA	K01733	NA	K19720	K07299	K00485	K00128	K00383	K01528	K08490	K01719	K12589	K03238	K00901	K04362	K01077	K01081	K05849	K03174	K02604	K04307
K01291	K05015	K13140	K02684	NA	K01756	NA	K19720	K11414	K00522	K00237	K00417	K01530	K08804	K02183	K13125	K03246	K00901	K04392	K01081	K01103	K06240	K03267	K02684	K04307
K01312	K05034	K14544	K03130	NA	K01758	NA	K19720	K14684	K00522	K00286	K00419	K01783	K09313	K02186	K14818	K03249	K00962	K04412	K01115	K01227	K06530	K03267	K03128	K04527
K01351	K05285	K14797	K03349	NA	K01908	NA	K19720	K17496	K00522	K00289	K00432	K01897	K09533	K02308	K15135	K03252	K00962	K04498	K01191	K01262	K07809	K03456	K03352	K04534
K01556	K05463	K14850	K03355	NA	K02187	NA	K19720	K19703	K00544	K00327	K00472	K02187	K10352	K02311	K15438	K03679	K01197	K04531	K01195	K01332	K08045	K03456	K04224	K04594
K01669	K05657	K15180	K03555	NA	K02599	NA	K19720	K19934	K00546	K00357	K00512	K02187	K10316	K02320	K15445	K04346	K01469	K04600	K01231	K01411	K08735	K03514	K04352	K04930
K01758	K06236	K17307	K03954	NA	K02599	NA	K19721	NA	K00598	K00364	K00522	K02212	K10408	K02835	K16472	K04348	K01490	K04650	K01256	K01415	K08801	K04307	K04362	K04984
K01756	K06560	K17419	K04224	NA	K02649	NA	K19721	NA	K00599	K00486	K00546	K02330	K10485	K02835	K17823	K04353	K01528	K04659	K01262	K01415	K10260	K04353	K04365	K04994
K02295	K06838	K19375	K04368	NA	K02879	NA	K19721	NA	K00604	K00507	K00546	K02580	K10599	K03027	K20800	K04456	K01648	K04679	K01262	K01415	K10260	K04353	K04491	K05093
K03255	K07752	K20633	K04368	NA	K03006	NA	K19721	NA	K00616	K00517	K00546	K02580	K11090	K03063	K21806	K06027	K01648	K04728	K01262	K01509	K10279	K04456	K04498	K05094
