M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25
NA	NA	NA	NA	NA	K12825	NA	NA	NA	K05692	K02868	K03447	K13675	NA	K17427	NA	NA	K06560	K10586	K05195	K08884	NA	NA	K16453	NA
NA	NA	NA	NA	NA	K12825	NA	NA	NA	K05692	K02874	K03505	K13800	NA	K17427	NA	NA	K06560	K10592	K05302	K08892	NA	NA	K16487	NA
NA	NA	NA	NA	NA	K12831	NA	NA	NA	K05760	K02882	K03506	K13856	NA	K17495	NA	NA	K06564	K10592	K05305	K08958	NA	NA	K16506	NA
NA	NA	NA	NA	NA	K12842	NA	NA	NA	K05956	K02883	K03512	K13912	NA	K17495	NA	NA	K06640	K10592	K05323	K09048	NA	NA	K16609	NA
NA	NA	NA	NA	NA	K12841	NA	NA	NA	K06068	K02889	K03627	K14079	NA	K17495	NA	NA	K06753	K10592	K05410	K09058	NA	NA	K16609	NA
NA	NA	NA	NA	NA	K12866	NA	NA	NA	K06129	K02894	K03654	K14216	NA	K17535	NA	NA	K06760	K10593	K05655	K09186	NA	NA	K16810	NA
NA	NA	NA	NA	NA	K13116	NA	NA	NA	K06252	K02896	K03676	K14408	NA	K17544	NA	NA	K06766	K10593	K05656	K09228	NA	NA	K16910	NA
NA	NA	NA	NA	NA	K13138	NA	NA	NA	K06255	K02896	K03676	K14411	NA	K17571	NA	NA	K06767	K10594	K05661	K09228	NA	NA	K16910	NA
NA	NA	NA	NA	NA	K13171	NA	NA	NA	K06279	K02908	K03687	K14443	NA	K17655	NA	NA	K06775	K10624	K05665	K09228	NA	NA	K16910	NA
NA	NA	NA	NA	NA	K13172	NA	NA	NA	K06316	K02911	K03691	K14616	NA	K17890	NA	NA	K06794	K10728	K05665	K09273	NA	NA	K16910	NA
NA	NA	NA	NA	NA	K13184	NA	NA	NA	K06537	K02920	K03845	K14785	NA	K17963	NA	NA	K06841	K10691	K05673	K09313	NA	NA	K16910	NA
NA	NA	NA	NA	NA	K13191	NA	NA	NA	K06580	K02929	K03868	K14816	NA	K18272	NA	NA	K06867	K10691	K05673	K09392	NA	NA	K17335	NA
NA	NA	NA	NA	NA	K13191	NA	NA	NA	K06645	K02938	K03937	K14823	NA	K18754	NA	NA	K07203	K10691	K05673	K09502	NA	NA	K17341	NA
NA	NA	NA	NA	NA	K13191	NA	NA	NA	K06676	K02940	K03938	K15032	NA	K18914	NA	NA	K07151	K10691	K05673	K09504	NA	NA	K17341	NA
NA	NA	NA	NA	NA	K13203	NA	NA	NA	K06676	K02941	K03939	K15260	NA	K19178	NA	NA	K07151	K10691	K05673	K09504	NA	NA	K17495	NA
NA	NA	NA	NA	NA	K13596	NA	NA	NA	K06688	K02941	K03943	K15376	NA	K19502	NA	NA	K07190	K10754	K05673	K09537	NA	NA	K17495	NA
NA	NA	NA	NA	NA	K13619	NA	NA	NA	K06691	K02943	K03948	K16064	NA	K19530	NA	NA	K07190	K10779	K05673	K09553	NA	NA	K17540	NA
NA	NA	NA	NA	NA	K13619	NA	NA	NA	K06691	K02948	K03952	K16482	NA	K19607	NA	NA	K07190	K10798	K05673	K09554	NA	NA	K17926	NA
NA	NA	NA	NA	NA	K13806	NA	NA	NA	K06704	K02949	K03956	K16506	NA	K19676	NA	NA	K07207	K10896	K05673	K09571	NA	NA	K18408	NA
NA	NA	NA	NA	NA	K13863	NA	NA	NA	K06867	K02953	K03964	K16506	NA	K19677	NA	NA	K07207	K11292	K05677	K09668	NA	NA	K18408	NA
NA	NA	NA	NA	NA	K13871	NA	NA	NA	K06875	K02956	K04078	K16780	NA	K19678	NA	NA	K07207	K11320	K05677	K09848	NA	NA	K18408	NA
NA	NA	NA	NA	NA	K14005	NA	NA	NA	K06890	K02964	K04266	K16860	NA	K19679	NA	NA	K07375	K11348	K05695	K09848	NA	NA	K18681	NA
NA	NA	NA	NA	NA	K14005	NA	NA	NA	K06911	K02967	K04370	K16889	NA	K19679	NA	NA	K07376	K11406	K05701	K10088	NA	NA	K18711	NA
NA	NA	NA	NA	NA	K14007	NA	NA	NA	K06924	K02984	K04393	K17044	NA	K19684	NA	NA	K07380	K11421	K05724	K10088	NA	NA	K18953	NA
NA	NA	NA	NA	NA	K14007	NA	NA	NA	K06924	K02988	K04441	K17267	NA	K19752	NA	NA	K07380	K11421	K05724	K10104	NA	NA	K19022	NA
NA	NA	NA	NA	NA	K14005	NA	NA	NA	K07048	K02991	K04441	K17276	NA	K19754	NA	NA	K07380	K11422	K05728	K10130	NA	NA	K19413	NA
NA	NA	NA	NA	NA	K14157	NA	NA	NA	K07023	K03002	K04487	K17307	NA	K19754	NA	NA	K07380	K11540	K05858	K10260	NA	NA	K19676	NA
NA	NA	NA	NA	NA	K14311	NA	NA	NA	K07192	K03012	K04506	K17336	NA	K19907	NA	NA	K07424	K11647	K05858	K10260	NA	NA	K19921	NA
NA	NA	NA	NA	NA	K14311	NA	NA	NA	K07197	K03024	K04507	K17341	NA	K19910	NA	NA	K07426	K11647	K05858	K10264	NA	NA	K20032	NA
NA	NA	NA	NA	NA	K14314	NA	NA	NA	K07252	K03028	K04564	K17494	NA	K19942	NA	NA	K07521	K11647	K05858	K10271	NA	NA	K20032	NA
NA	NA	NA	NA	NA	K14314	NA	NA	NA	K07252	K03028	K04565	K17495	NA	K20064	NA	NA	K07526	K11647	K06058	K10273	NA	NA	K20176	NA
NA	NA	NA	NA	NA	K14317	NA	NA	NA	K07440	K03031	K04571	K17495	NA	K20120	NA	NA	K07817	K11655	K06058	K10300	NA	NA	K20176	NA
NA	NA	NA	NA	NA	K14326	NA	NA	NA	K07868	K03031	K04571	K17500	NA	K20241	NA	NA	K07817	K11655	K06058	K10297	NA	NA	K20289	NA
NA	NA	NA	NA	NA	K14325	NA	NA	NA	K07889	K03033	K04659	K17500	NA	K20291	NA	NA	K08267	K11665	K06058	K10352	NA	NA	K20403	NA
NA	NA	NA	NA	NA	K14406	NA	NA	NA	K07901	K03033	K04711	K17543	NA	K20310	NA	NA	K08269	K11665	K06070	K10356	NA	NA	K20474	NA
NA	NA	NA	NA	NA	K14411	NA	NA	NA	K07912	K03039	K04797	K17603	NA	K20478	NA	NA	K08269	K11728	K06068	K10356	NA	NA	K20476	NA
NA	NA	NA	NA	NA	K14445	NA	NA	NA	K07952	K03062	K04909	K17658	NA	K20818	NA	NA	K08333	K11728	K06082	K10369	NA	NA	K21031	NA
NA	NA	NA	NA	NA	K14571	NA	NA	NA	K08010	K03064	K05053	K17677	NA	K21437	NA	NA	K08333	K11757	K06082	K10362	NA	NA	K21412	NA
NA	NA	NA	NA	NA	K14613	NA	NA	NA	K08105	K03064	K05305	K18037	NA	K22696	NA	NA	K08462	K11757	K06082	K10380	NA	NA	K22370	NA
NA	NA	NA	NA	NA	K14616	NA	NA	NA	K08145	K03063	K05306	K18055	NA	K22900	NA	NA	K08463	K11839	K06082	K10380	NA	NA	K22370	NA
NA	NA	NA	NA	NA	K14616	NA	NA	NA	K08150	K03094	K05318	K18164	NA	K22990	NA	NA	K08518	K11840	K06094	K10380	NA	NA	K22370	NA
NA	NA	NA	NA	NA	K14616	NA	NA	NA	K08180	K03103	K05357	K18180	NA	K23001	NA	NA	K08546	K11840	K06091	K10382	NA	NA	K22371	NA
NA	NA	NA	NA	NA	K14616	NA	NA	NA	K08187	K03103	K05402	K18384	NA	K23033	NA	NA	K08630	K11974	K06176	K10393	NA	NA	K22371	NA
NA	NA	NA	NA	NA	K14638	NA	NA	NA	K08187	K03120	K05402	K18406	NA	K23325	NA	NA	K08632	K11974	K06176	K10393	NA	NA	K22544	NA
NA	NA	NA	NA	NA	K14638	NA	NA	NA	K08202	K03122	K05497	K18674	NA	K23538	NA	NA	K08654	K12172	K06228	K10395	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K14676	NA	NA	NA	K08202	K03107	K05692	K19328	NA	K23609	NA	NA	K08765	K12182	K06255	K10395	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K14966	NA	NA	NA	K08333	K03130	K05752	K19402	NA	K23628	NA	NA	K08815	K12231	K06255	K10395	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15137	NA	NA	NA	K08375	K03175	K05754	K19511	NA	K23728	NA	NA	K08815	K12231	K06271	K10400	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15144	NA	NA	NA	K08488	K03233	K05755	K19511	NA	K23729	NA	NA	K08815	K12559	K06271	K10401	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15159	NA	NA	NA	K08568	K03234	K05756	K19511	NA	K23729	NA	NA	K08826	K12567	K06532	K10406	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15157	NA	NA	NA	K08739	K03234	K05759	K19874	NA	K23730	NA	NA	K08834	K12567	K06560	K10406	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15502	NA	NA	NA	K08729	K03239	K05759	K19933	NA	K23731	NA	NA	K08843	K12604	K06560	K10443	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15542	NA	NA	NA	K08745	K03241	K05765	K19995	NA	K23733	NA	NA	K08840	K12604	K06564	K10407	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15603	NA	NA	NA	K08766	K03249	K06052	K20120	NA	K23820	NA	NA	K08840	K12604	K06619	K10408	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15710	NA	NA	NA	K08776	K03250	K06069	K20221	NA	K23843	NA	NA	K08852	K12855	K06619	K10408	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K15837	NA	NA	NA	K08794	K03263	K06072	K20292	NA	K23951	NA	NA	K08838	K12855	K06619	K10443	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K16309	NA	NA	NA	K08798	K03320	K06072	K20778	NA	K23965	NA	NA	K08855	K12856	K06631	K10443	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K16353	NA	NA	NA	K08813	K03331	K06096	K20804	NA	NA	NA	NA	K08857	K13024	K06636	K10446	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K16353	NA	NA	NA	K08957	K03353	K06130	K20825	NA	NA	NA	NA	K08857	K13024	K06642	K10450	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K16459	NA	NA	NA	K08956	K03355	K06130	K21774	NA	NA	NA	NA	K08864	K13172	K06642	K10457	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K16483	NA	NA	NA	K09173	K03357	K06170	K21919	NA	NA	NA	NA	K08874	K13157	K06669	K10463	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K16483	NA	NA	NA	K09209	K03363	K06172	K22378	NA	NA	NA	NA	K08874	K13165	K06675	K10477	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K16570	NA	NA	NA	K09276	K03377	K06172	K22530	NA	NA	NA	NA	K08878	K13172	K06711	K10478	NA	NA	K22614	NA
NA	NA	NA	NA	NA	K16570	NA	NA	NA	K09323	K03377	K06172	K22556	NA	NA	NA	NA	K08886	K13172	K06711	K10478	NA	NA	K22615	NA
NA	NA	NA	NA	NA	K16719	NA	NA	NA	K09332	K03377	K06276	K22614	NA	NA	NA	NA	K08955	K13172	K06767	K10478	NA	NA	K22615	NA
NA	NA	NA	NA	NA	K16726	NA	NA	NA	K09448	K03424	K06497	K22614	NA	NA	NA	NA	K09093	K13240	K06772	K10478	NA	NA	K22615	NA
NA	NA	NA	NA	NA	K16726	NA	NA	NA	K09533	K03447	K06546	K22615	NA	NA	NA	NA	K09170	K13291	K06774	K10478	NA	NA	K22615	NA
NA	NA	NA	NA	NA	K16726	NA	NA	NA	K09595	K03537	K06569	K22754	NA	NA	NA	NA	K09194	K13291	K06774	K10484	NA	NA	K22615	NA
NA	NA	NA	NA	NA	K17065	NA	NA	NA	K09627	K03574	K06569	K22990	NA	NA	NA	NA	K09189	K13709	K06775	K10600	NA	NA	K22615	NA
NA	NA	NA	NA	NA	K17277	NA	NA	NA	K09646	K03626	K06672	K22990	NA	NA	NA	NA	K09454	K13709	K06775	K10597	NA	NA	K22761	NA
NA	NA	NA	NA	NA	K17307	NA	NA	NA	K09848	K03626	K06685	K23049	NA	NA	NA	NA	K09453	K13912	K06777	K10609	NA	NA	K22761	NA
NA	NA	NA	NA	NA	K17341	NA	NA	NA	K10089	K03649	K06689	K23336	NA	NA	NA	NA	K09453	K13912	K06777	K10636	NA	NA	K22913	NA
NA	NA	NA	NA	NA	K17341	NA	NA	NA	K10135	K03652	K06944	K23341	NA	NA	NA	NA	K09453	K14462	K06777	K10645	NA	NA	K23010	NA
NA	NA	NA	NA	NA	K17495	NA	NA	NA	K10144	K03654	K06975	K23600	NA	NA	NA	NA	K09583	K14572	K06819	K10645	NA	NA	K23115	NA
NA	NA	NA	NA	NA	K17509	NA	NA	NA	K10151	K03661	K06974	K23829	NA	NA	NA	NA	K09583	K14572	K06820	K10646	NA	NA	K23345	NA
NA	NA	NA	NA	NA	K17541	NA	NA	NA	K10249	K03680	K06990	K23847	NA	NA	NA	NA	K09594	K14572	K06820	K10646	NA	NA	K23966	NA
NA	NA	NA	NA	NA	K17608	NA	NA	NA	K10249	K03681	K07002	K23884	NA	NA	NA	NA	K09667	K14572	K06838	K10691	NA	NA	NA	NA
NA	NA	NA	NA	NA	K17923	NA	NA	NA	K10258	K03842	K07071	K23961	NA	NA	NA	NA	K10144	K14572	K06838	K10695	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18032	NA	NA	NA	K10268	K03848	K07071	K23966	NA	NA	NA	NA	K10263	K14572	K06959	K10776	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18082	NA	NA	NA	K10293	K03848	K07152	NA	NA	NA	NA	NA	K10277	K14972	K06841	K10776	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18163	NA	NA	NA	K10293	K03848	K07152	NA	NA	NA	NA	NA	K10349	K15048	K06867	K10777	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18401	NA	NA	NA	K10317	K03858	K07151	NA	NA	NA	NA	NA	K10350	K15048	K06867	K10799	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18401	NA	NA	NA	K10349	K03861	K07208	NA	NA	NA	NA	NA	K10380	K15172	K06867	K10803	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18592	NA	NA	NA	K10369	K03872	K07213	NA	NA	NA	NA	NA	K10380	K15192	K06867	K10841	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18625	NA	NA	NA	K10380	K03936	K07213	NA	NA	NA	NA	NA	K10380	K15502	K06972	K10848	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18669	NA	NA	NA	K10396	K03954	K07305	NA	NA	NA	NA	NA	K10380	K15791	K07190	K11113	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18734	NA	NA	NA	K10413	K03955	K07342	NA	NA	NA	NA	NA	K10408	K15837	K07195	K11124	NA	NA	NA	NA
NA	NA	NA	NA	NA	K18734	NA	NA	NA	K10416	K03964	K07304	NA	NA	NA	NA	NA	K10408	K16307	K07375	K11124	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19192	NA	NA	NA	K10442	K03992	K07390	NA	NA	NA	NA	NA	K10456	K16307	K07206	K11126	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19192	NA	NA	NA	K10450	K03992	K07390	NA	NA	NA	NA	NA	K10454	K16307	K07206	K11262	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19365	NA	NA	NA	K10454	K04150	K07424	NA	NA	NA	NA	NA	K10464	K16353	K07209	K11291	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19475	NA	NA	NA	K10478	K04163	K07390	NA	NA	NA	NA	NA	K10457	K16469	K07209	K11291	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19511	NA	NA	NA	K10570	K04231	K07565	NA	NA	NA	NA	NA	K10589	K16469	K07532	K11291	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19511	NA	NA	NA	K10532	K04314	K07579	NA	NA	NA	NA	NA	K10589	K16475	K07759	K11298	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19636	NA	NA	NA	K10579	K04348	K07820	NA	NA	NA	NA	NA	K10590	K16506	K07870	K11318	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19716	NA	NA	NA	K10685	K04348	K07834	NA	NA	NA	NA	NA	K10590	K16506	K07984	K11323	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19719	NA	NA	NA	K10626	K04371	K07874	NA	NA	NA	NA	NA	K10593	K16533	K07989	K11426	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19719	NA	NA	NA	K10659	K04371	K07874	NA	NA	NA	NA	NA	K10593	K16537	K08018	K11445	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19721	NA	NA	NA	K10685	K04382	K07877	NA	NA	NA	NA	NA	K10593	K16544	K08036	K11592	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19721	NA	NA	NA	K10688	K04552	K07880	NA	NA	NA	NA	NA	K10608	K16551	K08052	K11583	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19759	NA	NA	NA	K10712	K04567	K07876	NA	NA	NA	NA	NA	K10608	K16669	K08052	K11654	NA	NA	NA	NA
NA	NA	NA	NA	NA	K19867	NA	NA	NA	K10841	K04592	K07893	NA	NA	NA	NA	NA	K10610	K16669	K08187	K11628	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20044	NA	NA	NA	K10869	K04593	K07897	NA	NA	NA	NA	NA	K10626	K16669	K08239	K11668	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20056	NA	NA	NA	K11093	K04628	K07912	NA	NA	NA	NA	NA	K10626	K16669	K08465	K11666	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20068	NA	NA	NA	K11257	K04634	K07918	NA	NA	NA	NA	NA	K10626	K16726	K08576	K11671	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20191	NA	NA	NA	K11536	K04644	K07933	NA	NA	NA	NA	NA	K10645	K16747	K08592	K11804	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20278	NA	NA	NA	K11536	K04696	K07937	NA	NA	NA	NA	NA	K10645	K16770	K08727	K11840	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20279	NA	NA	NA	K11540	K04696	K07941	NA	NA	NA	NA	NA	K10645	K16768	K08727	K11853	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20308	NA	NA	NA	K11540	K04708	K07943	NA	NA	NA	NA	NA	K10728	K16768	K08764	K11853	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20360	NA	NA	NA	K11564	K04944	K08076	NA	NA	NA	NA	NA	K10730	K16768	K08770	K11857	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20465	NA	NA	NA	K11592	K04950	K08105	NA	NA	NA	NA	NA	K10798	K16803	K08791	K11857	NA	NA	NA	NA
NA	NA	NA	NA	NA	K20465	NA	NA	NA	K11594	K05041	K08129	NA	NA	NA	NA	NA	K10798	K16803	K08801	K11984	NA	NA	NA	NA
NA	NA	NA	NA	NA	K21596	NA	NA	NA	K11673	K05048	K08187	NA	NA	NA	NA	NA	K10798	K16803	K08821	K11997	NA	NA	NA	NA
NA	NA	NA	NA	NA	K21814	NA	NA	NA	K11851	K05048	K08202	NA	NA	NA	NA	NA	K10799	K16803	K08824	K11997	NA	NA	NA	NA
NA	NA	NA	NA	NA	K21952	NA	NA	NA	K11851	K05052	K08202	NA	NA	NA	NA	NA	K10876	K17094	K08834	K11997	NA	NA	NA	NA
NA	NA	NA	NA	NA	K21989	NA	NA	NA	K11887	K05218	K08465	NA	NA	NA	NA	NA	K10876	K17266	K08834	K12021	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22128	NA	NA	NA	K11994	K05289	K08467	NA	NA	NA	NA	NA	K10886	K17299	K08835	K12021	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22182	NA	NA	NA	K12183	K05293	K08493	NA	NA	NA	NA	NA	K10901	K17341	K08824	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22371	NA	NA	NA	K12185	K05293	K08504	NA	NA	NA	NA	NA	K10951	K17341	K08863	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22371	NA	NA	NA	K12301	K05312	K08515	NA	NA	NA	NA	NA	K10951	K17341	K08857	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22582	NA	NA	NA	K12309	K05312	K08516	NA	NA	NA	NA	NA	K11109	K17478	K08857	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22614	NA	NA	NA	K12309	K05361	K08517	NA	NA	NA	NA	NA	K11109	K17478	K08857	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22614	NA	NA	NA	K12309	K05399	K08520	NA	NA	NA	NA	NA	K11251	K17478	K08892	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22615	NA	NA	NA	K12373	K05610	K08546	NA	NA	NA	NA	NA	K11292	K17495	K08878	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22615	NA	NA	NA	K12373	K05674	K08658	NA	NA	NA	NA	NA	K11293	K17495	K08957	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K22910	NA	NA	NA	K12375	K05681	K08678	NA	NA	NA	NA	NA	K11305	K17495	K09186	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23041	NA	NA	NA	K12389	K05692	K08803	NA	NA	NA	NA	NA	K11305	K17551	K08991	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23209	NA	NA	NA	K12405	K05706	K08818	NA	NA	NA	NA	NA	K11322	K17592	K08991	K12035	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23294	NA	NA	NA	K12486	K05757	K08818	NA	NA	NA	NA	NA	K11406	K17592	K09140	K12175	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23332	NA	NA	NA	K12504	K05863	K08851	NA	NA	NA	NA	NA	K11406	K17592	K09228	K12174	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23390	NA	NA	NA	K12562	K05929	K08880	NA	NA	NA	NA	NA	K11423	K17592	K09420	K12175	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23390	NA	NA	NA	K12823	K05954	K08880	NA	NA	NA	NA	NA	K11427	K17592	K09453	K12184	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23471	NA	NA	NA	K12852	K05956	K09207	NA	NA	NA	NA	NA	K11540	K17592	K09486	K12184	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23488	NA	NA	NA	K12872	K05970	K09304	NA	NA	NA	NA	NA	K11577	K17592	K09518	K12190	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23488	NA	NA	NA	K12880	K05991	K09230	NA	NA	NA	NA	NA	K11577	K17592	K09530	K12190	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23503	NA	NA	NA	K12881	K06027	K09257	NA	NA	NA	NA	NA	K11592	K17592	K09530	K12191	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23588	NA	NA	NA	K12893	K06173	K09339	NA	NA	NA	NA	NA	K11592	K17602	K09531	K12193	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23588	NA	NA	NA	K13076	K06173	K09481	NA	NA	NA	NA	NA	K11593	K17602	K09533	K12231	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23612	NA	NA	NA	K13084	K06210	K09499	NA	NA	NA	NA	NA	K11593	K17608	K09566	K12231	NA	NA	NA	NA
NA	NA	NA	NA	NA	K23802	NA	NA	NA	K13098	K06226	K09512	NA	NA	NA	NA	NA	K11647	K17751	K09540	K12319	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13126	K06268	K09567	NA	NA	NA	NA	NA	K11643	K17914	K09553	K12319	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13126	K06497	K09569	NA	NA	NA	NA	NA	K11657	K17914	K09553	K12331	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13126	K06532	K09577	NA	NA	NA	NA	NA	K11665	K17916	K09553	K12401	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13126	K06569	K09598	NA	NA	NA	NA	NA	K11729	K18040	K09553	K12492	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13161	K06626	K09641	NA	NA	NA	NA	NA	K11730	K18040	K09561	K12401	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13169	K06630	K09646	NA	NA	NA	NA	NA	K11765	K18260	K09561	K12478	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13216	K06630	K09848	NA	NA	NA	NA	NA	K11765	K18260	K09606	K12489	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13515	K06633	K09995	NA	NA	NA	NA	NA	K11789	K18263	K09675	K12489	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13515	K06636	K10082	NA	NA	NA	NA	NA	K11797	K18263	K09680	K12489	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13577	K06670	K10084	NA	NA	NA	NA	NA	K11797	K18263	K09680	K12491	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13698	K06693	K10088	NA	NA	NA	NA	NA	K11840	K18263	K10143	K12493	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13753	K06693	K10251	NA	NA	NA	NA	NA	K11840	K18263	K10177	K12573	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13702	K06700	K10251	NA	NA	NA	NA	NA	K11840	K18402	K10268	K12591	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13720	K06711	K10268	NA	NA	NA	NA	NA	K11840	K18405	K10296	K12591	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13748	K06775	K10364	NA	NA	NA	NA	NA	K11847	K18405	K10300	K12598	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13753	K06775	K10407	NA	NA	NA	NA	NA	K11855	K18410	K10300	K12655	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13907	K06794	K10419	NA	NA	NA	NA	NA	K11858	K18412	K10362	K12735	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13864	K06841	K10436	NA	NA	NA	NA	NA	K11858	K18468	K10356	K12737	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13949	K06997	K10446	NA	NA	NA	NA	NA	K11978	K18529	K10357	K12737	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13985	K07119	K10455	NA	NA	NA	NA	NA	K11978	K18598	K10358	K12737	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K13989	K06999	K10532	NA	NA	NA	NA	NA	K11978	K18626	K10380	K12818	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K14006	K07192	K10572	NA	NA	NA	NA	NA	K11978	K18730	K10380	K12811	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K14157	K07293	K10573	NA	NA	NA	NA	NA	K12035	K18758	K10380	K12818	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K14157	K07277	K10575	NA	NA	NA	NA	NA	K12035	K19026	K10380	K12819	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	K14165	K07374	K10579	NA	NA	NA	NA	NA	K12169	K19352	K10380	K12819	NA	NA	NA	NA
