CL.1d	CL.1d.exp	CL.3d	CL.3d.exp	AH.1d	AH.1d.exp	AH.3d	AH.3d.exp	CH.1d	CH.1d.exp	CH.3d	CH.3d.exp	Met	M12	M13	M14	M15	M21	M24	M25
K00760	-0.552282632	K03174	0.89276219	K00472	0.416222807	K00898	-0.473212614	K06924	0.666011116	NA	NA	K04968	K12828	K00306	NA	NA	K22990	K12462	K10279
K00767	-0.459427705	K03174	1.137954849	K00472	0.434439403	K00898	-0.387200239	K06942	-0.486849185	NA	NA	K08782	K23884	K23438	NA	NA	K09651	K12566	K10290
K00772	-0.338167781	K03174	1.229561424	K00474	0.450163741	K00940	-0.399351653	K06965	-0.891321117	NA	NA	K09073	K01362	K01415	NA	NA	K21437	K12859	K10392
K00798	-0.519728809	K03174	1.403066838	K00477	-0.446335571	K00942	0.438238937	K06965	-0.705298223	NA	NA	K04208	NA	K11855	NA	NA	K22290	K12865	K10446
K00799	-0.538975918	K03175	0.412933076	K00485	-0.397491276	K00962	-0.253310288	K07963	-0.728432791	NA	NA	K06238	NA	K17576	NA	NA	K19511	K12873	K10454
K00799	-0.515881762	K03175	0.925771929	K00485	0.56989817	K00968	-0.309790168	K07964	0.688402422	NA	NA	K04919	NA	K15255	NA	NA	K00327	K13119	K10455
K00799	-0.504450749	K03211	1.624730516	K00486	-0.359495776	K00972	0.161306788	K08288	-0.426357052	NA	NA	K19511	NA	K17533	NA	NA	K06711	K13154	K10887
K00799	-0.319103707	K03253	0.480804334	K00504	0.548607124	K00976	-0.305993653	K08465	-0.57806217	NA	NA	K07754	NA	K17541	NA	NA	K00327	K13345	K10890
K00819	0.262508747	K03254	0.344387988	K00522	-0.585118951	K00993	-0.465599486	K08490	-0.331048381	NA	NA	K08187	NA	K08815	NA	NA	K12654	K13800	K11346
K00826	-0.390815442	K03262	0.528089152	K00522	-0.542277541	K01008	-0.346208144	K09048	-0.861035556	NA	NA	K00326	NA	K22614	NA	NA	K12654	K14025	K11468
K00844	0.467516377	K03267	0.349200793	K00540	-0.404414863	K01011	-0.387921013	K09058	-0.72446175	NA	NA	K13748	NA	K17538	NA	NA	K12654	K14443	K11512
K00846	-0.268758822	K03355	-0.636903307	K00597	0.554294788	K01019	0.456471338	K09189	0.729858948	NA	NA	K22190	NA	K03555	NA	NA	K20367	K14538	K11583
K00888	0.732770148	K03355	-0.488425999	K00599	-0.857277861	K01050	-0.351831577	K09228	-0.722817965	NA	NA	K15607	NA	K08857	NA	NA	K09668	K14823	K11674
K00888	0.807436813	K03456	0.436448525	K00599	-0.359951619	K01052	-0.369648139	K09428	1.034358789	NA	NA	K01017	NA	K14616	NA	NA	K10308	K15032	K11680
K00894	-0.415791923	K03462	0.713007453	K00600	-0.561261019	K01054	-0.375506996	K09504	-0.51192198	NA	NA	K01735	NA	K01047	NA	NA	K02311	K15688	K11699
K00898	-0.4221938	K03462	0.751867978	K00602	-0.95190764	K01070	-0.418653576	K09523	-0.911444027	NA	NA	K00591	NA	K06794	NA	NA	K17600	K16482	K11699
K00898	-0.276524041	K03575	-0.413095867	K00613	0.525228599	K01077	-0.841216243	K09640	1.888528499	NA	NA	K00907	NA	K14462	NA	NA	K03392	K16780	K11778
K00901	0.450464197	K03845	-0.592802955	K00615	-0.412731564	K01077	0.433581529	K09656	-0.675709499	NA	NA	K06238	NA	K08630	NA	NA	K13247	K17267	K11778
K00907	0.887266913	K03861	-0.43167407	K00616	-0.496562705	K01080	0.271348186	K10080	-0.331941992	NA	NA	K09381	NA	K01047	NA	NA	K10640	K17336	K11964
