Name,moduleColors,moduleID,GS.inf,GS.temp,GS.time,GS.met_Y
aug_v2a.17212,grey,M26,-0.159112214,-0.109839666,-0.169207944,-0.295651379
aug_v2a.17214,red,M10,0.051573195,-0.117607093,0.214690364,0.257960972
aug_v2a.17215,red,M10,0.105304665,-0.157311679,0.233268221,0.365580178
aug_v2a.00190,greenyellow,M15,0.074028425,0.431383896,-0.550108122,-0.293695329
aug_v2a.02595,cyan,M2,-0.197456317,-0.520409591,0.126702867,-0.13026192
aug_v2a.17218,black,M24,0.031383769,0.185463871,0.016657363,-0.067567855
aug_v2a.02598,grey60,M4,0.162036398,-0.494492858,0.357748644,0.315254146
aug_v2a.02599,red,M10,0.026728322,-0.683690741,0.381575359,0.24189397
aug_v2a.17219,purple,M6,-0.095118213,-0.228063608,0.291489805,0.300908825
aug_v2a.17220,brown,M21,-0.003885322,0.540983011,-0.223334216,0.11801573
aug_v2a.17222,green,M18,0.458323164,0.014774494,0.082670561,0.272319953
aug_v2a.17223,turquoise,M20,0.322244882,0.091372809,-0.219920092,-0.067785348
aug_v2a.17226,purple,M6,0.378712948,-0.093997856,0.552814417,0.346627966
aug_v2a.17229,green,M18,0.302139577,-0.120441366,0.476326472,0.491690934
aug_v2a.17230,green,M18,0.435657293,0.065046145,0.430624157,0.495917221
aug_v2a.17231,turquoise,M20,0.294497575,0.456090818,0.003872549,0.232546255
aug_v2a.02602,turquoise,M20,0.374417707,0.299602966,0.025881891,0.15821277
aug_v2a.17232,yellow,M12,-0.432624735,-0.042741382,-0.440220316,-0.514864639
aug_v2a.17235,turquoise,M20,0.215558688,0.634386768,0.087609716,0.279333631
aug_v2a.17238,brown,M21,0.282717316,0.492124293,-0.007444115,0.234874968
aug_v2a.17239,brown,M21,0.108255533,0.24908963,0.044840581,0.240456778
aug_v2a.17241,yellow,M12,-0.105884584,-0.195807188,-0.721087555,-0.320546591
aug_v2a.17243,tan,M25,-0.066153612,0.348794877,-0.27858693,-0.138114124
aug_v2a.17244,grey,M26,0.08439109,-0.34774652,-0.213164737,-0.118295743
aug_v2a.17245,pink,M19,0.121102178,0.13630231,0.179895138,0.014951035
aug_v2a.17246,grey,M26,0.210764721,0.075885049,-0.073926758,0.154783809
aug_v2a.17247,lightgreen,M22,0.024005476,0.422451268,-0.033798898,-0.110197346
aug_v2a.17248,turquoise,M20,0.101994463,0.304982139,0.073644345,0.173724332
aug_v2a.02605,turquoise,M20,0.402873903,0.529929274,0.131998422,0.290407062
aug_v2a.17252,midnightblue,M17,-0.405285055,-0.305433819,-0.397089088,-0.362148231
aug_v2a.17253,yellow,M12,-0.397207273,-0.240131484,-0.096715264,-0.246607656
aug_v2a.17256,green,M18,0.105146292,0.367952093,0.2529219,0.098996888
aug_v2a.17257,grey60,M4,0.276011136,-0.646814533,0.35303393,0.311259591
aug_v2a.17258,purple,M6,0.289363305,-0.41581271,0.444340249,0.286274144
aug_v2a.17259,green,M18,0.444700224,0.189410352,0.581607441,0.587445508
aug_v2a.02606,red,M10,-0.252960267,0.264549225,0.225973818,0.264137931
aug_v2a.02608,green,M18,0.238466392,0.116218151,0.627432172,0.331949714
aug_v2a.17260,green,M18,0.403672621,0.216896369,0.229870779,0.24669641
aug_v2a.17263,greenyellow,M15,-0.285180272,0.149732832,-0.469693985,-0.15410233
aug_v2a.17264,yellow,M12,-0.542272522,-0.051856626,-0.366779236,-0.380586444
aug_v2a.17266,black,M24,0.186767793,-0.092922626,-0.263136944,-0.201361963
aug_v2a.02609,grey,M26,0.118033052,-0.224035882,-0.015227792,0.125598563
aug_v2a.17268,brown,M21,0.133407452,0.139355751,-0.27015256,-0.244164233
aug_v2a.17269,turquoise,M20,0.268885284,0.454315447,0.07396403,0.253287218
aug_v2a.02610,turquoise,M20,0.218046735,0.188497025,-0.154305882,-0.017519975
aug_v2a.02611,green,M18,0.176261375,-0.107511545,0.142681415,0.06439266
aug_v2a.17271,turquoise,M20,0.310848729,0.3812175,0.021243713,0.235765798
aug_v2a.17272,brown,M21,-0.017646843,-0.009161274,-0.07300424,0.049386112
aug_v2a.17273,turquoise,M20,0.142413052,0.030559237,0.464545475,0.372298223
aug_v2a.17274,brown,M21,0.059452549,0.19556639,-0.203283456,-0.006244428
aug_v2a.17276,grey,M26,0.238493225,-0.379240915,-0.100595232,0.017677197
