Name,AH.d1,AH.d3,SC.d1,SC.d3
aug_v2a.07775,0,0,1,0
aug_v2a.04135,0,0,1,0
aug_v2a.19268,0,0,1,0
aug_v2a.24120,0,0,1,0
aug_v2a.07434,0,0,1,0
aug_v2a.20141,0,0,1,0
aug_v2a.16955,0,1,1,1
aug_v2a.00481,1,0,1,0
aug_v2a.09074,0,0,1,1
aug_v2a.14857,1,0,1,0
aug_v2a.19141,0,0,1,0
aug_v2a.01437,0,0,1,0
aug_v2a.10886,1,1,1,0
aug_v2a.00378,1,0,1,0
aug_v2a.20409,0,0,1,0
aug_v2a.06320,0,0,1,0
aug_v2a.12587,1,0,1,0
aug_v2a.22749,1,0,1,0
aug_v2a.20452,0,0,1,0
aug_v2a.00484,0,0,1,0
aug_v2a.15141,1,0,1,0
aug_v2a.11869,1,0,1,0
aug_v2a.05297,0,0,1,0
aug_v2a.14821,0,0,1,0
aug_v2a.02964,1,0,1,0
aug_v2a.04752,1,0,1,0
aug_v2a.00862,1,0,1,0
aug_v2a.13429,0,0,1,0
aug_v2a.17639,0,1,1,0
aug_v2a.05840,1,0,1,0
aug_v2a.15523,0,0,1,0
aug_v2a.19738,1,0,1,0
aug_v2a.24070,0,0,1,0
aug_v2a.19527,0,0,1,0
aug_v2a.20762,0,0,1,0
aug_v2a.02665,0,0,1,0
aug_v2a.11326,0,0,1,0
aug_v2a.20312,0,0,1,0
aug_v2a.15456,1,0,1,0
aug_v2a.05714,0,0,1,0
aug_v2a.15978,0,0,1,0
aug_v2a.22354,0,0,1,0
aug_v2a.23479,0,0,1,0
aug_v2a.15070,0,0,1,0
aug_v2a.03922,1,0,1,0
aug_v2a.21609,1,0,1,0
aug_v2a.03809,0,0,1,0
aug_v2a.19142,0,0,1,0
aug_v2a.17069,1,0,1,0
aug_v2a.07945,0,0,1,0
aug_v2a.12495,0,0,1,0
aug_v2a.15969,0,0,1,0
aug_v2a.21890,0,0,1,0
aug_v2a.06826,0,0,1,0
aug_v2a.16471,0,0,1,0
aug_v2a.04350,0,0,1,0
aug_v2a.00607,0,0,1,0
aug_v2a.16574,0,0,1,0
aug_v2a.22509,0,0,1,0
aug_v2a.00126,0,0,1,0
aug_v2a.03155,0,0,1,0
aug_v2a.20182,0,0,1,0
aug_v2a.05389,0,0,1,0
aug_v2a.20522,1,0,0,0
aug_v2a.02262,1,0,0,0
aug_v2a.07295,1,0,0,0
aug_v2a.23855,1,0,0,0
aug_v2a.04136,1,0,0,0
aug_v2a.20600,1,1,0,0
aug_v2a.07929,1,0,0,0
aug_v2a.00936,0,0,0,1
aug_v2a.07605,1,0,0,0
aug_v2a.15235,0,0,0,1
aug_v2a.06414,1,0,0,0
aug_v2a.24494,1,0,0,0
aug_v2a.13359,1,0,0,0
aug_v2a.13112,1,1,0,0
aug_v2a.14315,1,0,0,0
aug_v2a.14327,0,0,0,1
aug_v2a.01470,1,0,0,0
aug_v2a.24279,1,0,0,0
aug_v2a.17164,1,0,0,0
aug_v2a.03783,1,0,0,0
aug_v2a.13194,1,1,0,0
aug_v2a.17297,1,0,0,0
aug_v2a.01884,1,0,0,0
aug_v2a.23474,1,0,0,0
aug_v2a.22613,1,0,0,0
aug_v2a.23879,1,0,0,0
aug_v2a.09045,1,0,0,0
aug_v2a.23412,1,0,0,0
aug_v2a.04954,1,0,0,0
aug_v2a.18018,1,0,0,0
aug_v2a.21205,1,0,0,0
aug_v2a.04149,1,0,0,0
aug_v2a.12086,0,1,0,0
aug_v2a.03677,1,0,0,0
aug_v2a.09356,1,0,0,0
aug_v2a.08648,1,0,0,0
aug_v2a.15304,1,0,0,0
aug_v2a.11158,1,0,0,0
aug_v2a.08288,1,1,0,0
aug_v2a.23696,1,0,0,0
aug_v2a.00738,1,0,0,0
aug_v2a.07528,1,0,0,0
aug_v2a.14781,1,0,0,0
aug_v2a.00547,1,0,0,0
aug_v2a.19153,1,1,0,0
aug_v2a.18754,1,0,0,0
aug_v2a.12348,1,0,0,0
aug_v2a.06467,1,0,0,0
aug_v2a.08921,1,0,0,0
aug_v2a.15512,1,0,0,0
aug_v2a.14800,1,1,0,0
aug_v2a.10371,0,1,0,0
aug_v2a.21937,1,0,0,0
aug_v2a.14559,1,0,0,0
aug_v2a.13837,1,0,0,0
aug_v2a.05956,1,0,0,0
aug_v2a.14764,1,0,0,0
aug_v2a.03728,1,0,0,0
aug_v2a.18038,1,0,0,0
